<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,D,20170110,000000,35.4669,35.5053,34.9817,35.4426,2846.9415164291654,0
PLW,D,20170111,000000,35.4426,35.4426,34.9892,35.0342,1174.4531655243948,0
PLW,D,20170112,000000,35.3659,35.3659,34.2875,34.904,1419.8791583200127,0
PLW,D,20170113,000000,35.3659,35.3659,34.3034,34.6734,824.8707757862468,0
PLW,D,20170116,000000,34.3034,34.6267,33.9025,34.2951,1166.0727657703983,0
PLW,D,20170117,000000,34.326,34.326,33.6711,33.7095,2329.7511316110827,0
PLW,D,20170118,000000,33.7095,33.8256,33.5942,33.8256,368.7375891758549,0
PLW,D,20170119,000000,33.9025,33.9025,33.1315,33.7095,2486.5843270073074,0
PLW,D,20170120,000000,33.8949,33.8949,33.1315,33.8173,526.7679845369355,0
PLW,D,20170123,000000,33.8866,33.8866,33.1315,33.8097,511.2043849937988,0
PLW,D,20170124,000000,33.9409,33.9409,33.1315,33.5174,723.1087787734298,0
PLW,D,20170125,000000,33.1473,33.5174,32.9778,33.2083,1835.3075461252777,0
PLW,D,20170126,000000,33.9801,34.28,33.2317,34.28,435.7807872078285,0
PLW,D,20170127,000000,34.28,34.28,33.3637,33.6401,648.8823809523161,0
PLW,D,20170130,000000,33.2317,34.5264,33.2317,34.5188,3176.17150676475,0
PLW,D,20170131,000000,34.5188,37.6779,34.5188,36.2529,4189.002677033494,0
PLW,D,20170201,000000,36.2061,36.9763,36.2061,36.9537,1230.7215638726586,0
PLW,D,20170202,000000,36.9846,37.2161,36.6764,36.9846,1962.210742400085,0
PLW,D,20170203,000000,36.9846,36.9846,36.5987,36.5987,214.29879370934424,0
PLW,D,20170206,000000,36.5987,36.9763,36.5987,36.9763,427.4003874538318,0
PLW,D,20170207,000000,36.9763,36.9763,36.5219,36.8694,964.9431716744774,0
PLW,D,20170208,000000,36.9763,36.9763,36.7917,36.9378,122.11439641538051,0
PLW,D,20170209,000000,36.9454,37.6779,36.5219,37.5159,993.6759708310374,0
PLW,D,20170210,000000,36.9922,37.5243,36.9846,36.9846,375.9207889649949,0
PLW,D,20170213,000000,36.9922,37.8324,36.9846,37.7547,1800.5887471444341,0
PLW,D,20170214,000000,38.0246,38.0246,37.1375,37.4466,629.7271815146092,0
PLW,D,20170215,000000,37.7547,37.9319,37.0147,37.9319,211.90439377963085,0
PLW,D,20170216,000000,37.9319,37.9319,37.0689,37.825,249.0175926901877,0
PLW,D,20170217,000000,37.7547,37.7547,37.0147,37.0765,131.69199613423388,0
PLW,D,20170220,000000,37.901,38.0246,37.7547,38.0246,1631.7835520996434,0
PLW,D,20170221,000000,38.0246,38.9108,37.3689,38.6409,11311.145267965832,0
PLW,D,20170222,000000,38.6409,39.1188,38.1398,38.6017,1780.2363477418705,0
PLW,D,20170223,000000,38.9108,38.9425,38.3712,38.5257,774.5883772622667,0
PLW,D,20170224,000000,38.5257,38.5257,37.9862,38.5257,1020.0143700578842,0
PLW,D,20170227,000000,39.4111,41.6071,39.4111,40.1119,9253.158528377215,0
PLW,D,20170228,000000,40.5053,44.1113,40.0268,43.1482,27798.983183971915,0
PLW,D,20170301,000000,44.3042,45.4595,43.6117,44.1038,26021.141236159758,0
PLW,D,20170302,000000,44.6901,48.3111,44.6901,47.6178,38523.50046915798,0
PLW,D,20170303,000000,48.9275,51.6238,47.7715,49.7746,19853.16701721819,0
PLW,D,20170306,000000,49.929,50.0751,48.2333,49.6584,22117.07215076215,0
PLW,D,20170307,000000,47.6178,48.4264,44.0737,45.4677,16052.057128798255,0
PLW,D,20170308,000000,45.4219,47.0005,43.2333,43.9182,7735.108972938956,0
PLW,D,20170309,000000,44.6901,45.8453,43.5341,45.4293,5642.403434369494,0
PLW,D,20170310,000000,46.1461,47.7715,44.8664,47.6178,5978.816624494219,0
PLW,D,20170313,000000,48.3111,48.6193,47.7798,48.5191,10072.043304339179,0
PLW,D,20170314,000000,48.3111,48.5809,47.6178,48.4506,1976.577141978365,0
PLW,D,20170315,000000,48.3111,48.7111,47.3863,48.6962,4529.007467052788,0
PLW,D,20170316,000000,48.7111,48.7111,48.1949,48.5416,4976.760253909184,0
PLW,D,20170317,000000,48.1574,49.3126,48.1574,48.5416,5465.217839570707,0
PLW,D,20170320,000000,49.2198,50.0826,49.0044,49.4671,13537.937202599243,0
PLW,D,20170321,000000,49.6834,50.4694,49.5431,49.7746,6256.567016340966,0
PLW,D,20170322,000000,50.005,50.3842,48.5416,49.6976,3778.363089087656,0
PLW,D,20170323,000000,50.1596,50.2756,48.9275,49.6976,3698.150691442259,0
PLW,D,20170324,000000,50.0826,50.3918,48.3879,49.3126,3804.7014883145025,0
PLW,D,20170327,000000,49.3126,49.3126,47.3939,49.3042,2374.0475303107796,0
PLW,D,20170328,000000,49.3126,49.3126,46.6162,49.1513,2663.7699218060943,0
PLW,D,20170329,000000,49.0812,49.0812,46.6321,47.6871,2375.244730275637,0
PLW,D,20170330,000000,47.6871,47.6871,46.2772,47.5326,790.1519768054034,0
PLW,D,20170331,000000,48.6034,48.6034,46.3081,47.1325,2023.267940607775,0
PLW,D,20170403,000000,48.5416,48.5416,44.7669,45.4595,3013.3523115442426,0
PLW,D,20170404,000000,46.1536,46.2229,45.4595,46.192,535.1483842909322,0
PLW,D,20170405,000000,45.8453,46.2303,45.0827,46.2303,822.4763758565334,0
PLW,D,20170406,000000,46.2378,46.993,45.8453,46.9162,1386.3575593040257,0
PLW,D,20170407,000000,46.9095,46.9095,45.9831,46.2303,216.6931936390576,0
PLW,D,20170410,000000,46.2378,46.993,44.7745,46.2229,3313.849502723267,0
PLW,D,20170411,000000,45.0743,46.1995,43.8423,44.6901,4483.513868388235,0
PLW,D,20170412,000000,44.3042,45.0743,44.3042,45.0743,770.9967773676966,0
PLW,D,20170413,000000,45.0743,45.0743,43.4573,44.3042,5944.097825513375,0
PLW,D,20170418,000000,43.9182,44.6133,43.9182,44.6133,1459.3867571602827,0
PLW,D,20170419,000000,44.6826,44.6826,43.9952,44.4579,260.98959233875445,0
PLW,D,20170420,000000,44.6826,47.3171,44.6826,46.8702,14104.21278597645,0
PLW,D,20170421,000000,46.8702,46.9864,45.9605,46.9779,2304.6099323490935,0
PLW,D,20170424,000000,46.9779,46.9779,46.2688,46.9779,1764.6727481987343,0
PLW,D,20170425,000000,46.6162,46.6162,45.5747,46.3081,931.4215726584905,0
PLW,D,20170426,000000,46.2303,46.2303,43.4573,44.2265,3744.8414900716693,0
PLW,D,20170427,000000,44.6901,46.2153,44.6901,45.9221,216.6931936390576,0
PLW,D,20170428,000000,45.9221,45.9221,45.0743,45.9221,1060.7191688630112,0
PLW,D,20170502,000000,45.9999,45.9999,45.0743,45.7225,662.0515805657394,0
PLW,D,20170504,000000,45.7752,45.7752,43.9182,45.0677,3875.3362862410463,0
PLW,D,20170505,000000,45.0677,45.0677,43.9182,43.9182,1516.8523554734031,0
PLW,D,20170508,000000,43.9182,44.3042,43.6877,43.6877,221.48199349848426,0
PLW,D,20170509,000000,43.6961,43.6961,41.1444,42.7548,3801.1098884199328,0
PLW,D,20170510,000000,41.6071,44.2265,41.6071,43.5341,1727.5595492881773,0
PLW,D,20170511,000000,43.5257,43.5341,42.9945,43.5341,2758.348719029772,0
PLW,D,20170512,000000,43.5341,43.5341,41.268,43.5257,791.3491767702599,0
PLW,D,20170515,000000,43.1416,43.1482,41.3456,43.0713,897.8999736425037,0
PLW,D,20170516,000000,43.0713,43.0713,41.2604,41.2604,1468.9643568791362,0
PLW,D,20170517,000000,42.3789,42.3789,38.5257,40.0668,3645.4738929885652,0
PLW,D,20170518,000000,40.6832,40.8378,39.681,39.681,500.4295853100887,0
PLW,D,20170519,000000,39.681,42.3789,39.6433,42.3789,590.2195826743391,0
PLW,D,20170522,000000,42.3789,42.3789,41.6071,42.3789,322.04679054644475,0
PLW,D,20170523,000000,42.3789,42.3789,41.6538,42.3789,690.7843797222996,0
PLW,D,20170524,000000,42.3789,42.3789,42.3623,42.3623,23.943999297133434,0
PLW,D,20170525,000000,42.3789,43.6251,41.6071,43.6251,1466.5699569494227,0
