<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19941227,000000,4.95492,4.95492,4.95492,4.95492,16196.373995899,0
CDR,D,19941228,000000,4.79697,4.79697,4.79697,4.79697,17980.928881466,0
CDR,D,19941229,000000,4.83422,4.83422,4.83422,4.83422,21696.700347217,0
CDR,D,19950102,000000,5.31754,5.31754,5.31754,5.31754,84393.036387193,0
CDR,D,19950103,000000,5.04804,5.04804,5.04804,5.04804,58532.374640321,0
CDR,D,19950104,000000,5.18737,5.18737,5.18737,5.18737,23726.375127985,0
CDR,D,19950105,000000,5.29901,5.29901,5.29901,5.29901,23017.681205038,0
CDR,D,19950106,000000,5.02941,5.02941,5.02941,5.02941,16507.132691489,0
CDR,D,19950109,000000,5.14096,5.14096,5.14096,5.14096,13025.199452123,0
CDR,D,19950110,000000,5.14096,5.14096,5.14096,5.14096,44505.157876016,0
CDR,D,19950111,000000,5.16885,5.16885,5.16885,5.16885,28364.166617944,0
CDR,D,19950112,000000,5.22462,5.22462,5.22462,5.22462,19722.408304277,0
CDR,D,19950113,000000,5.29901,5.29901,5.29901,5.29901,40747.336553766,0
CDR,D,19950116,000000,5.24324,5.24324,5.24324,5.24324,12304.198254104,0
CDR,D,19950117,000000,5.18737,5.18737,5.18737,5.18737,26809.347533739,0
CDR,D,19950118,000000,5.10372,5.10372,5.10372,5.10372,31038.947733783,0
CDR,D,19950119,000000,5.18737,5.18737,5.18737,5.18737,9838.6408145048,0
CDR,D,19950120,000000,5.16885,5.16885,5.16885,5.16885,15779.977855933,0
CDR,D,19950123,000000,4.99226,4.99226,4.99226,4.99226,27957.000934284,0
CDR,D,19950124,000000,4.72258,4.72258,4.72258,4.72258,20134.702019218,0
CDR,D,19950125,000000,4.69479,4.69479,4.69479,4.69479,153653.25246603,0
CDR,D,19950126,000000,4.69479,4.69479,4.69479,4.69479,25858.610534359,0
CDR,D,19950127,000000,4.74109,4.74109,4.74109,4.74109,22899.73648559,0
CDR,D,19950130,000000,4.69479,4.69479,4.69479,4.69479,34053.20452038,0
CDR,D,19950131,000000,4.69479,4.69479,4.69479,4.69479,53098.712695648,0
CDR,D,19950201,000000,4.79697,4.79697,4.79697,4.79697,23870.985610091,0
CDR,D,19950202,000000,4.79697,4.79697,4.79697,4.79697,46395.350205958,0
CDR,D,19950203,000000,4.69479,4.69479,4.69479,4.69479,32776.324731569,0
CDR,D,19950206,000000,4.9364,4.9364,4.9364,4.9364,6893.0996470642,0
CDR,D,19950207,000000,5.43844,5.43844,5.43844,5.43844,74219.022326952,0
CDR,D,19950208,000000,5.33616,5.33616,5.33616,5.33616,43823.129715728,0
CDR,D,19950209,000000,4.99226,4.99226,4.99226,4.99226,17238.389952069,0
CDR,D,19950210,000000,4.99226,4.99226,4.99226,4.99226,45289.746661912,0
CDR,D,19950213,000000,4.88988,4.88988,4.88988,4.88988,4698.3022590688,0
CDR,D,19950214,000000,5.08519,5.08519,5.08519,5.08519,10910.399352101,0
CDR,D,19950215,000000,4.95492,4.95492,4.95492,4.95492,9088.9226413157,0
CDR,D,19950216,000000,5.06656,5.06656,5.06656,5.06656,7794.607546152,0
CDR,D,19950217,000000,5.01089,5.01089,5.01089,5.01089,8984.3108031963,0
CDR,D,19950220,000000,4.83422,4.83422,4.83422,4.83422,7341.2895809679,0
